"catch","mean_temp_2m","max_temp_2m","min_temp_2m","precipitation_mm","rel_humidity_2m_pct","solar_irradiance_wh_m2","wind_speed_2m_ms","estimate_RI","estimate_RI_Norm"
0,18.23,24.25,11.99,0,59.09,26.29,1.61,0.00100270414160787,9.66287241006553e-05
0,15.76,18.35,13.47,1.79,68.8,7.95,0.88,7.51216280529211e-06,7.23933089195753e-07
0,18.79,24.08,13.83,0.09,75.26,18.59,1.56,0.00321239004001114,0.000309572024289144
0,16.41,21.72,11.14,1.09,72.89,21.36,1.63,2.65717396880552e-05,2.5606688915759e-06
0,18.67,22.24,14.81,3.75,80.25,16.31,2.56,0.00249735223539179,0.000240665167443471
0,21.99,27.97,15.82,0.01,67.43,29.59,2.01,2.70458051414809,0.260635369363736
2,21.75,28.1,18.11,0.71,67.48,22.4,2.07,1.75848639099484,0.169462046938695
9.333333333,20.93,25.63,16.42,10.46,72.81,23.06,1.19,0.331348773886445,0.0319314620579216
24,23.91,28.65,19.49,1.03,66.74,25.2,1.62,8.40357021906376,0.809836355975404
19.33333333,21.97,28.54,14.29,0.31,55.68,25.08,2.95,2.61311444446283,0.251820955175672
31.66666667,25.84,31.11,20.57,0.03,65.26,27.59,1.98,0.276718710451889,0.0266668649467815
14.33333333,25.8,31.92,19.33,0,51.06,27.53,2.18,0.303300219255383,0.0292284752700837
14.66666667,23.37,30.64,17.02,0.01,58.24,22.15,1.84,10.3768744846508,1
17.66666667,23.98,30.01,19.37,0.02,66.29,19.21,1.45,7.91717152578101,0.762963022969187
22.33333333,24.03,30.87,18.53,0,64.53,18.18,1.52,7.55478519614094,0.728040529671605
23.66666667,19.9,28.17,13.55,0,45.57,18.9,1.74,0.0349013241785847,0.00336337538149916
51.33333333,19.58,24.91,15.81,5.47,66.15,7.71,3.01,0.0173815987404972,0.00167503218490347
121.6666667,20.37,27.15,15.53,1.34,64.34,13.87,1.44,0.0978516800368467,0.00942978352311988
88,20.6,26.49,15.94,0,63.07,13.58,1.61,0.161959672971011,0.0156077509861543
74,13.98,19.4,9.46,0.12,76.53,10.36,1.07,2.34284408460396e-07,2.25775502425787e-08
69.66666667,12.66,17.08,9.56,1.02,82.82,7.55,0.9,1.64289975160717e-08,1.583231455494e-09
109.3333333,6.64,11.97,3.81,0.08,74.89,7.9,3.93,3.42225944376898e-15,0
0,15.65,22.27,8.67,0,57.86,24.19,1.39,6.06968921479335e-06,5.84924605221852e-07
8.6666666,16.93,23.52,11.11,0.19,73.4,22.93,2.43,7.36213195555227e-05,7.09474896906569e-06
4,14.09,19.06,9.13,0.25,69.22,17.84,1.58,2.91017573138367e-07,2.80448192899098e-08
13.33333333,13.63,18.27,8.81,0,65.08,20.63,2.9,1.17051588851618e-07,1.12800425217148e-08
1.666666667,9.87,12.06,6.23,11.31,81.62,10.39,2.26,3.33200590575008e-11,3.21066202037406e-12
0.666666667,15.85,20.78,10.13,1.67,76,21.73,2.08,8.94453658235516e-06,8.61968273025121e-07
0,15.47,17.97,12.6,5.12,81.04,17.1,3.33,4.28236653373174e-06,4.12683658903637e-07
4,20.78,26.86,15.17,0.01,67.13,29.21,1.72,0.239683756662968,0.0230978756674274
11.66666667,23.66,28.97,19.05,0,61.56,27.66,2.47,9.7994682932218,0.944356444487876
8.666666667,24.63,30.29,19.15,0.02,62.68,29.06,1.93,3.36648748943283,0.324422107486454
47.33333333,29.06,35.75,21.04,0,47.39,29.1,1.21,0.000210121231674169,2.0248990385453e-05
40,29.15,35.22,23.08,0,44.19,28.77,1.8,0.000175020675170659,1.686641535716e-05
1,25.58,29.54,20.15,3.78,69.13,19.94,3.04,0.499225657473278,0.0481094435720231
0,24.73,31.54,17.71,0,46.04,28.79,2.19,2.83375862665048,0.273084022635341
